Calibrated,Energy Transfer,RIXS
11569.5,1.25,5.950238866389052e-06
11569.75,1.5,3.258900056053081e-06
11570.0,1.75,1.2321883203492482e-06
11570.25,2.0,4.570408615196394e-07
11570.5,2.25,4.377561669496959e-07
11570.75,2.5,2.3826451936328094e-07
11571.0,2.75,2.5860469320571474e-07
11571.25,3.0,3.3808465576140805e-07
11571.5,3.25,3.185391032232335e-07
11571.75,3.5,3.7796070545450607e-07
11572.0,3.75,4.37286723339026e-07
11572.25,4.0,4.3711094145908265e-07
11572.5,4.25,2.781242411181421e-07
11572.75,4.5,5.760373240404609e-07
11573.0,4.75,5.961402541560514e-07
11573.25,5.0,4.973834447551831e-07
11573.5,5.25,4.3687678533669937e-07
11573.75,5.5,5.964599861239549e-07
11574.0,5.75,5.165856580880069e-07
11574.25,6.0,3.7735321436617847e-07
11574.5,6.25,2.584659939870471e-07
11574.75,6.5,1.392486809569233e-07
11575.0,6.75,2.1849691601534722e-07
11575.25,7.0,1.5933373007432123e-07
11575.5,7.25,3.583564911261377e-07
11575.75,7.5,2.1887808347484796e-07
11576.0,7.75,1.19260015456098e-07
11576.25,8.0,1.390807541006172e-07
11576.5,8.25,3.579239836271253e-07
11576.75,8.5,1.9876669242683e-07
11577.0,8.75,3.1802670788292805e-07
11577.25,9.0,9.927688306803373e-08
11577.5,9.25,1.9876669242683e-07
11577.75,9.5,3.18581877374331e-07
11578.0,9.75,1.9876669242683e-07
11578.25,10.0,3.1819732306956047e-07
11578.5,10.25,1.9876669242683e-07
11578.75,10.5,3.3799399213690773e-07
11579.0,10.75,2.3861598908475016e-07
11579.25,11.0,2.9826998635593774e-07
11579.5,11.25,2.784600047895121e-07
11579.75,11.5,2.587435413631406e-07
11580.0,11.75,2.9875074388935224e-07
11580.25,12.0,1.3917399676225613e-07
11580.5,12.25,2.9843006685310986e-07
11580.75,12.5,1.3917399676225613e-07
11581.0,12.75,3.1806934452428517e-07
11581.25,13.0,2.1867267436044603e-07
11581.5,13.25,1.7905804011186592e-07
11581.75,13.5,2.1873132332768767e-07
11582.0,13.75,1.3936085766016465e-07
11700.5,132.25,2.3832834591548112e-07
11700.7,132.45,2.3826451936328094e-07
11700.9,132.65,9.929017848561349e-08
11701.1,132.85,1.5894943325784825e-07
11701.3,133.05,2.989113409832318e-07
11701.5,133.25,2.400646830281951e-07
11701.7,133.45,2.011939654686773e-07
11701.9,133.65,2.2191557524551934e-07
11702.1,133.85,1.813698794446503e-07
11702.3,134.05,2.3932204850100635e-07
11702.5,134.25,2.981100775038504e-07
11702.7,134.45,2.3906481668748923e-07
11702.9,134.65,1.5989211759041938e-07
11703.1,134.85,3.610713130286084e-07
11703.3,135.05,3.020368397957941e-07
11703.5,135.25,2.6141027707558955e-07
11703.7,135.45,1.7973327581868506e-07
11703.9,135.65,1.7850716599167157e-07
11704.1,135.85,2.3746956233884721e-07
11704.3,136.05,1.5827079658483274e-07
11704.5,136.25,1.582919162534456e-07
11704.7,136.45,1.9802344090600318e-07
11704.9,136.65,2.769738940234573e-07
11705.1,136.85,1.5820747137947737e-07
11705.3,137.05,1.7817350773748155e-07
11705.5,137.25,3.360564182585066e-07
11567.25,-0.75,2.1993127147766322e-06
11567.5,-0.5,4.214225576501478e-06
11567.75,-0.25,8.007028595352809e-06
11568.0,0.0,1.4422922929793495e-05
