YEAR,BRAND,MAKE,TRIM,PRICE,MILES,SHIP,PAGE,ENTRY
2018,BUICK,ENCORE,Preferred II,"17,300","15,828 miles",Shipping: $200,1539,1
2017,VOLKSWAGEN,TIGUAN,2.0T S,"15,100","31,330 miles",Shipping: $300,1539,2
2017,INFINITI,QX50,QX50,"23,200","28,041 miles",Shipping: $300,1539,3
2017,NISSAN,ROGUE,SV,"18,400","21,672 miles",Shipping: $300,1539,4
2017,CHEVROLET,TRAVERSE,LT,"22,700","38,250 miles",Free Shipping,1539,5
2018,CHEVROLET,EQUINOX,LT,"17,700","28,775 miles",Shipping: $200,1539,6
2017,FORD,ESCAPE,SE,"16,900","22,033 miles",Shipping: $200,1539,7
2016,MAZDA,CX-5,Touring,"18,200","26,569 miles",Shipping: $300,1539,8
2016,HYUNDAI,TUCSON,SE,"14,800","51,203 miles",Free Shipping,1539,9
2018,DODGE,JOURNEY,Crossroad,"17,000","43,462 miles",Shipping: $300,1539,10
2017,CHEVROLET,EQUINOX,LT,"17,600","21,444 miles",Shipping: $300,1539,11
2018,NISSAN,ROGUE SPORT,S,"16,600","29,756 miles",Shipping: $300,1539,12
2017,HYUNDAI,ELANTRA,SE,"13,700","22,953 miles",Shipping: $200,1539,13
2016,HYUNDAI,TUCSON,SE,"15,200","39,854 miles",Shipping: $200,1539,14
2016,KIA,SOUL,+,"16,400","19,934 miles",Shipping: $200,1539,15
2017,TOYOTA,RAV4,LE,"18,900","32,962 miles",Free Shipping,1539,16
2018,CHEVROLET,EQUINOX,LT,"17,700","18,280 miles",Free Shipping,1539,17
2017,CHEVROLET,EQUINOX,LT,"16,900","22,727 miles",Shipping: $300,1539,18
2015,CHEVROLET,EQUINOX,LT,"15,600","41,078 miles",Free Shipping,1539,19
2018,HONDA,CR-V,EX-L,"26,700","18,591 miles",Free Shipping,1539,20
2018,BUICK,ENCORE,Preferred II,"17,300","15,828 miles",Shipping: $200,1540,1
2017,VOLKSWAGEN,TIGUAN,2.0T S,"15,100","31,330 miles",Shipping: $300,1540,2
2017,INFINITI,QX50,QX50,"23,200","28,041 miles",Shipping: $300,1540,3
2017,NISSAN,ROGUE,SV,"18,400","21,672 miles",Shipping: $300,1540,4
2017,CHEVROLET,TRAVERSE,LT,"22,700","38,250 miles",Free Shipping,1540,5
2018,CHEVROLET,EQUINOX,LT,"17,700","28,775 miles",Shipping: $200,1540,6
2017,FORD,ESCAPE,SE,"16,900","22,033 miles",Shipping: $200,1540,7
2016,MAZDA,CX-5,Touring,"18,200","26,569 miles",Shipping: $300,1540,8
2016,HYUNDAI,TUCSON,SE,"14,800","51,203 miles",Free Shipping,1540,9
2018,DODGE,JOURNEY,Crossroad,"17,000","43,462 miles",Shipping: $300,1540,10
2017,CHEVROLET,EQUINOX,LT,"17,600","21,444 miles",Shipping: $300,1540,11
2018,NISSAN,ROGUE SPORT,S,"16,600","29,756 miles",Shipping: $300,1540,12
2017,HYUNDAI,ELANTRA,SE,"13,700","22,953 miles",Shipping: $200,1540,13
2016,HYUNDAI,TUCSON,SE,"15,200","39,854 miles",Shipping: $200,1540,14
2016,KIA,SOUL,+,"16,400","19,934 miles",Shipping: $200,1540,15
2017,TOYOTA,RAV4,LE,"18,900","32,962 miles",Free Shipping,1540,16
2018,CHEVROLET,EQUINOX,LT,"17,700","18,280 miles",Free Shipping,1540,17
2017,CHEVROLET,EQUINOX,LT,"16,900","22,727 miles",Shipping: $300,1540,18
2015,CHEVROLET,EQUINOX,LT,"15,600","41,078 miles",Free Shipping,1540,19
2018,HONDA,CR-V,EX-L,"26,700","18,591 miles",Free Shipping,1540,20
2018,BUICK,ENCORE,Preferred II,"17,300","15,828 miles",Shipping: $200,1541,1
2017,VOLKSWAGEN,TIGUAN,2.0T S,"15,100","31,330 miles",Shipping: $300,1541,2
2017,INFINITI,QX50,QX50,"23,200","28,041 miles",Shipping: $300,1541,3
2017,NISSAN,ROGUE,SV,"18,400","21,672 miles",Shipping: $300,1541,4
2017,CHEVROLET,TRAVERSE,LT,"22,700","38,250 miles",Free Shipping,1541,5
2018,CHEVROLET,EQUINOX,LT,"17,700","28,775 miles",Shipping: $200,1541,6
2017,FORD,ESCAPE,SE,"16,900","22,033 miles",Shipping: $200,1541,7
2016,MAZDA,CX-5,Touring,"18,200","26,569 miles",Shipping: $300,1541,8
2016,HYUNDAI,TUCSON,SE,"14,800","51,203 miles",Free Shipping,1541,9
2018,DODGE,JOURNEY,Crossroad,"17,000","43,462 miles",Shipping: $300,1541,10
2017,CHEVROLET,EQUINOX,LT,"17,600","21,444 miles",Shipping: $300,1541,11
2018,NISSAN,ROGUE SPORT,S,"16,600","29,756 miles",Shipping: $300,1541,12
2017,HYUNDAI,ELANTRA,SE,"13,700","22,953 miles",Shipping: $200,1541,13
2016,HYUNDAI,TUCSON,SE,"15,200","39,854 miles",Shipping: $200,1541,14
2016,KIA,SOUL,+,"16,400","19,934 miles",Shipping: $200,1541,15
2017,TOYOTA,RAV4,LE,"18,900","32,962 miles",Free Shipping,1541,16
2018,CHEVROLET,EQUINOX,LT,"17,700","18,280 miles",Free Shipping,1541,17
2017,CHEVROLET,EQUINOX,LT,"16,900","22,727 miles",Shipping: $300,1541,18
2015,CHEVROLET,EQUINOX,LT,"15,600","41,078 miles",Free Shipping,1541,19
2018,HONDA,CR-V,EX-L,"26,700","18,591 miles",Free Shipping,1541,20
2018,BUICK,ENCORE,Preferred II,"17,300","15,828 miles",Shipping: $200,1542,1
2017,VOLKSWAGEN,TIGUAN,2.0T S,"15,100","31,330 miles",Shipping: $300,1542,2
2017,INFINITI,QX50,QX50,"23,200","28,041 miles",Shipping: $300,1542,3
2017,NISSAN,ROGUE,SV,"18,400","21,672 miles",Shipping: $300,1542,4
2017,CHEVROLET,TRAVERSE,LT,"22,700","38,250 miles",Free Shipping,1542,5
2018,CHEVROLET,EQUINOX,LT,"17,700","28,775 miles",Shipping: $200,1542,6
2017,FORD,ESCAPE,SE,"16,900","22,033 miles",Shipping: $200,1542,7
2016,MAZDA,CX-5,Touring,"18,200","26,569 miles",Shipping: $300,1542,8
2016,HYUNDAI,TUCSON,SE,"14,800","51,203 miles",Free Shipping,1542,9
2018,DODGE,JOURNEY,Crossroad,"17,000","43,462 miles",Shipping: $300,1542,10
2017,CHEVROLET,EQUINOX,LT,"17,600","21,444 miles",Shipping: $300,1542,11
2018,NISSAN,ROGUE SPORT,S,"16,600","29,756 miles",Shipping: $300,1542,12
2017,HYUNDAI,ELANTRA,SE,"13,700","22,953 miles",Shipping: $200,1542,13
2016,HYUNDAI,TUCSON,SE,"15,200","39,854 miles",Shipping: $200,1542,14
2016,KIA,SOUL,+,"16,400","19,934 miles",Shipping: $200,1542,15
2017,TOYOTA,RAV4,LE,"18,900","32,962 miles",Free Shipping,1542,16
2018,CHEVROLET,EQUINOX,LT,"17,700","18,280 miles",Free Shipping,1542,17
2017,CHEVROLET,EQUINOX,LT,"16,900","22,727 miles",Shipping: $300,1542,18
2015,CHEVROLET,EQUINOX,LT,"15,600","41,078 miles",Free Shipping,1542,19
2018,HONDA,CR-V,EX-L,"26,700","18,591 miles",Free Shipping,1542,20
2018,BUICK,ENCORE,Preferred II,"17,300","15,828 miles",Shipping: $200,1543,1
2017,VOLKSWAGEN,TIGUAN,2.0T S,"15,100","31,330 miles",Shipping: $300,1543,2
2017,INFINITI,QX50,QX50,"23,200","28,041 miles",Shipping: $300,1543,3
