YEAR,BRAND,MAKE,TRIM,PRICE,MILES,SHIP,PAGE,ENTRY
2017,TOYOTA,CAMRY,SE,"16,500","46,968 miles",Shipping: $200,642,4
2017,JEEP,GRAND CHEROKEE,Limited,"23,900","59,983 miles",Free Shipping,642,5
2015,VOLKSWAGEN,PASSAT,1.8T SE,"14,500","24,461 miles",Free Shipping,642,6
2018,FORD,FUSION,SE,"15,900","23,440 miles",Shipping: $200,642,7
2015,KIA,SPORTAGE,EX,"14,300","60,965 miles",Shipping: $200,642,8
2014,TOYOTA,PRIUS V,Two,"15,100","75,694 miles",Free Shipping,642,9
2018,HYUNDAI,TUCSON,SEL,"16,400","42,144 miles",Shipping: $200,642,10
2017,CHEVROLET,EQUINOX,LS,"15,900","24,318 miles",Shipping: $200,642,11
2017,DODGE,JOURNEY,Crossroad Plus,"17,400","34,753 miles",Shipping: $200,642,12
2018,CHEVROLET,SPARK,LS,"12,500","32,580 miles",Shipping: $200,642,13
2018,JEEP,CHEROKEE,Latitude,"17,700","46,443 miles",Shipping: $300,642,14
2018,CHEVROLET,EQUINOX,LT,"18,500","19,592 miles",Shipping: $300,642,15
2017,HYUNDAI,SONATA,SE,"14,400","51,229 miles",Shipping: $200,642,16
2017,CHEVROLET,EQUINOX,LT,"15,700","30,285 miles",Shipping: $300,642,17
2014,VOLKSWAGEN,PASSAT,TDI SEL Premium,"14,800","38,607 miles",Shipping: $300,642,18
2018,DODGE,GRAND CARAVAN PAS...,SXT,"15,900","51,787 miles",Free Shipping,642,19
2017,NISSAN,ROGUE,S,"15,900","37,446 miles",Free Shipping,642,20
2013,CHEVROLET,CAMARO,LT,"16,300","47,235 miles",Free Shipping,643,1
2017,HYUNDAI,TUCSON,SE,"15,900","29,069 miles",Shipping: $200,643,2
2017,FORD,EXPLORER,XLT,"23,000","47,368 miles",Shipping: $300,643,3
2017,TOYOTA,CAMRY,SE,"16,500","46,968 miles",Shipping: $200,643,4
2017,JEEP,GRAND CHEROKEE,Limited,"23,900","59,983 miles",Free Shipping,643,5
2015,VOLKSWAGEN,PASSAT,1.8T SE,"14,500","24,461 miles",Free Shipping,643,6
2018,FORD,FUSION,SE,"15,900","23,440 miles",Shipping: $200,643,7
2015,KIA,SPORTAGE,EX,"14,300","60,965 miles",Shipping: $200,643,8
2014,TOYOTA,PRIUS V,Two,"15,100","75,694 miles",Free Shipping,643,9
2018,HYUNDAI,TUCSON,SEL,"16,400","42,144 miles",Shipping: $200,643,10
2017,CHEVROLET,EQUINOX,LS,"15,900","24,318 miles",Shipping: $200,643,11
2017,DODGE,JOURNEY,Crossroad Plus,"17,400","34,753 miles",Shipping: $200,643,12
2018,CHEVROLET,SPARK,LS,"12,500","32,580 miles",Shipping: $200,643,13
2018,JEEP,CHEROKEE,Latitude,"17,700","46,443 miles",Shipping: $300,643,14
2018,CHEVROLET,EQUINOX,LT,"18,500","19,592 miles",Shipping: $300,643,15
2017,HYUNDAI,SONATA,SE,"14,400","51,229 miles",Shipping: $200,643,16
2017,CHEVROLET,EQUINOX,LT,"15,700","30,285 miles",Shipping: $300,643,17
2014,VOLKSWAGEN,PASSAT,TDI SEL Premium,"14,800","38,607 miles",Shipping: $300,643,18
2018,DODGE,GRAND CARAVAN PAS...,SXT,"15,900","51,787 miles",Free Shipping,643,19
2017,NISSAN,ROGUE,S,"15,900","37,446 miles",Free Shipping,643,20
2013,CHEVROLET,CAMARO,LT,"16,300","47,235 miles",Free Shipping,644,1
2017,HYUNDAI,TUCSON,SE,"15,900","29,069 miles",Shipping: $200,644,2
2017,FORD,EXPLORER,XLT,"23,000","47,368 miles",Shipping: $300,644,3
2017,TOYOTA,CAMRY,SE,"16,500","46,968 miles",Shipping: $200,644,4
2017,JEEP,GRAND CHEROKEE,Limited,"23,900","59,983 miles",Free Shipping,644,5
2015,VOLKSWAGEN,PASSAT,1.8T SE,"14,500","24,461 miles",Free Shipping,644,6
2018,FORD,FUSION,SE,"15,900","23,440 miles",Shipping: $200,644,7
2015,KIA,SPORTAGE,EX,"14,300","60,965 miles",Shipping: $200,644,8
2014,TOYOTA,PRIUS V,Two,"15,100","75,694 miles",Free Shipping,644,9
2018,HYUNDAI,TUCSON,SEL,"16,400","42,144 miles",Shipping: $200,644,10
2017,CHEVROLET,EQUINOX,LS,"15,900","24,318 miles",Shipping: $200,644,11
2017,DODGE,JOURNEY,Crossroad Plus,"17,400","34,753 miles",Shipping: $200,644,12
2018,CHEVROLET,SPARK,LS,"12,500","32,580 miles",Shipping: $200,644,13
2018,JEEP,CHEROKEE,Latitude,"17,700","46,443 miles",Shipping: $300,644,14
2018,CHEVROLET,EQUINOX,LT,"18,500","19,592 miles",Shipping: $300,644,15
2017,HYUNDAI,SONATA,SE,"14,400","51,229 miles",Shipping: $200,644,16
2017,CHEVROLET,EQUINOX,LT,"15,700","30,285 miles",Shipping: $300,644,17
2014,VOLKSWAGEN,PASSAT,TDI SEL Premium,"14,800","38,607 miles",Shipping: $300,644,18
2018,DODGE,GRAND CARAVAN PAS...,SXT,"15,900","51,787 miles",Free Shipping,644,19
2017,NISSAN,ROGUE,S,"15,900","37,446 miles",Free Shipping,644,20
2013,CHEVROLET,CAMARO,LT,"16,300","47,235 miles",Free Shipping,645,1
2017,HYUNDAI,TUCSON,SE,"15,900","29,069 miles",Shipping: $200,645,2
2017,FORD,EXPLORER,XLT,"23,000","47,368 miles",Shipping: $300,645,3
2017,TOYOTA,CAMRY,SE,"16,500","46,968 miles",Shipping: $200,645,4
2017,JEEP,GRAND CHEROKEE,Limited,"23,900","59,983 miles",Free Shipping,645,5
2015,VOLKSWAGEN,PASSAT,1.8T SE,"14,500","24,461 miles",Free Shipping,645,6
2018,FORD,FUSION,SE,"15,900","23,440 miles",Shipping: $200,645,7
2015,KIA,SPORTAGE,EX,"14,300","60,965 miles",Shipping: $200,645,8
2014,TOYOTA,PRIUS V,Two,"15,100","75,694 miles",Free Shipping,645,9
2018,HYUNDAI,TUCSON,SEL,"16,400","42,144 miles",Shipping: $200,645,10
2017,CHEVROLET,EQUINOX,LS,"15,900","24,318 miles",Shipping: $200,645,11
2017,DODGE,JOURNEY,Crossroad Plus,"17,400","34,753 miles",Shipping: $200,645,12
2018,CHEVROLET,SPARK,LS,"12,500","32,580 miles",Shipping: $200,645,13
2018,JEEP,CHEROKEE,Latitude,"17,700","46,443 miles",Shipping: $300,645,14
2018,CHEVROLET,EQUINOX,LT,"18,500","19,592 miles",Shipping: $300,645,15
2017,HYUNDAI,SONATA,SE,"14,400","51,229 miles",Shipping: $200,645,16
2017,CHEVROLET,EQUINOX,LT,"15,700","30,285 miles",Shipping: $300,645,17
2014,VOLKSWAGEN,PASSAT,TDI SEL Premium,"14,800","38,607 miles",Shipping: $300,645,18
2018,DODGE,GRAND CARAVAN PAS...,SXT,"15,900","51,787 miles",Free Shipping,645,19
2017,NISSAN,ROGUE,S,"15,900","37,446 miles",Free Shipping,645,20
2013,CHEVROLET,CAMARO,LT,"16,300","47,235 miles",Free Shipping,646,1
2017,HYUNDAI,TUCSON,SE,"15,900","29,069 miles",Shipping: $200,646,2
2017,FORD,EXPLORER,XLT,"23,000","47,368 miles",Shipping: $300,646,3
2017,TOYOTA,CAMRY,SE,"16,500","46,968 miles",Shipping: $200,646,4
2017,JEEP,GRAND CHEROKEE,Limited,"23,900","59,983 miles",Free Shipping,646,5
2015,VOLKSWAGEN,PASSAT,1.8T SE,"14,500","24,461 miles",Free Shipping,646,6
2018,FORD,FUSION,SE,"15,900","23,440 miles",Shipping: $200,646,7
2015,KIA,SPORTAGE,EX,"14,300","60,965 miles",Shipping: $200,646,8
2014,TOYOTA,PRIUS V,Two,"15,100","75,694 miles",Free Shipping,646,9
2018,HYUNDAI,TUCSON,SEL,"16,400","42,144 miles",Shipping: $200,646,10
2017,CHEVROLET,EQUINOX,LS,"15,900","24,318 miles",Shipping: $200,646,11
2017,DODGE,JOURNEY,Crossroad Plus,"17,400","34,753 miles",Shipping: $200,646,12
2018,CHEVROLET,SPARK,LS,"12,500","32,580 miles",Shipping: $200,646,13
2018,JEEP,CHEROKEE,Latitude,"17,700","46,443 miles",Shipping: $300,646,14
2018,CHEVROLET,EQUINOX,LT,"18,500","19,592 miles",Shipping: $300,646,15
2017,HYUNDAI,SONATA,SE,"14,400","51,229 miles",Shipping: $200,646,16
2017,CHEVROLET,EQUINOX,LT,"15,700","30,285 miles",Shipping: $300,646,17
2014,VOLKSWAGEN,PASSAT,TDI SEL Premium,"14,800","38,607 miles",Shipping: $300,646,18
2018,DODGE,GRAND CARAVAN PAS...,SXT,"15,900","51,787 miles",Free Shipping,646,19
2017,NISSAN,ROGUE,S,"15,900","37,446 miles",Free Shipping,646,20
2013,CHEVROLET,CAMARO,LT,"16,300","47,235 miles",Free Shipping,647,1
2017,HYUNDAI,TUCSON,SE,"15,900","29,069 miles",Shipping: $200,647,2
2017,FORD,EXPLORER,XLT,"23,000","47,368 miles",Shipping: $300,647,3
2017,TOYOTA,CAMRY,SE,"16,500","46,968 miles",Shipping: $200,647,4
2017,JEEP,GRAND CHEROKEE,Limited,"23,900","59,983 miles",Free Shipping,647,5
2015,VOLKSWAGEN,PASSAT,1.8T SE,"14,500","24,461 miles",Free Shipping,647,6
2018,FORD,FUSION,SE,"15,900","23,440 miles",Shipping: $200,647,7
2015,KIA,SPORTAGE,EX,"14,300","60,965 miles",Shipping: $200,647,8
2014,TOYOTA,PRIUS V,Two,"15,100","75,694 miles",Free Shipping,647,9
2018,HYUNDAI,TUCSON,SEL,"16,400","42,144 miles",Shipping: $200,647,10
2017,CHEVROLET,EQUINOX,LS,"15,900","24,318 miles",Shipping: $200,647,11
2017,DODGE,JOURNEY,Crossroad Plus,"17,400","34,753 miles",Shipping: $200,647,12
2018,CHEVROLET,SPARK,LS,"12,500","32,580 miles",Shipping: $200,647,13
2018,JEEP,CHEROKEE,Latitude,"17,700","46,443 miles",Shipping: $300,647,14
2018,CHEVROLET,EQUINOX,LT,"18,500","19,592 miles",Shipping: $300,647,15
2017,HYUNDAI,SONATA,SE,"14,400","51,229 miles",Shipping: $200,647,16
2017,CHEVROLET,EQUINOX,LT,"15,700","30,285 miles",Shipping: $300,647,17
2014,VOLKSWAGEN,PASSAT,TDI SEL Premium,"14,800","38,607 miles",Shipping: $300,647,18
2018,DODGE,GRAND CARAVAN PAS...,SXT,"15,900","51,787 miles",Free Shipping,647,19
2017,NISSAN,ROGUE,S,"15,900","37,446 miles",Free Shipping,647,20
2013,CHEVROLET,CAMARO,LT,"16,300","47,235 miles",Free Shipping,648,1
2017,HYUNDAI,TUCSON,SE,"15,900","29,069 miles",Shipping: $200,648,2
2017,FORD,EXPLORER,XLT,"23,000","47,368 miles",Shipping: $300,648,3
2017,TOYOTA,CAMRY,SE,"16,500","46,968 miles",Shipping: $200,648,4
2017,JEEP,GRAND CHEROKEE,Limited,"23,900","59,983 miles",Free Shipping,648,5
2015,VOLKSWAGEN,PASSAT,1.8T SE,"14,500","24,461 miles",Free Shipping,648,6
2018,FORD,FUSION,SE,"15,900","23,440 miles",Shipping: $200,648,7
2015,KIA,SPORTAGE,EX,"14,300","60,965 miles",Shipping: $200,648,8
2014,TOYOTA,PRIUS V,Two,"15,100","75,694 miles",Free Shipping,648,9
2018,HYUNDAI,TUCSON,SEL,"16,400","42,144 miles",Shipping: $200,648,10
2017,CHEVROLET,EQUINOX,LS,"15,900","24,318 miles",Shipping: $200,648,11
2017,DODGE,JOURNEY,Crossroad Plus,"17,400","34,753 miles",Shipping: $200,648,12
2018,CHEVROLET,SPARK,LS,"12,500","32,580 miles",Shipping: $200,648,13
2018,JEEP,CHEROKEE,Latitude,"17,700","46,443 miles",Shipping: $300,648,14
2018,CHEVROLET,EQUINOX,LT,"18,500","19,592 miles",Shipping: $300,648,15
2017,HYUNDAI,SONATA,SE,"14,400","51,229 miles",Shipping: $200,648,16
2017,CHEVROLET,EQUINOX,LT,"15,700","30,285 miles",Shipping: $300,648,17
2014,VOLKSWAGEN,PASSAT,TDI SEL Premium,"14,800","38,607 miles",Shipping: $300,648,18
2018,DODGE,GRAND CARAVAN PAS...,SXT,"15,900","51,787 miles",Free Shipping,648,19
2017,NISSAN,ROGUE,S,"15,900","37,446 miles",Free Shipping,648,20
2013,CHEVROLET,CAMARO,LT,"16,300","47,235 miles",Free Shipping,649,1
2017,HYUNDAI,TUCSON,SE,"15,900","29,069 miles",Shipping: $200,649,2
2017,FORD,EXPLORER,XLT,"23,000","47,368 miles",Shipping: $300,649,3
2017,TOYOTA,CAMRY,SE,"16,500","46,968 miles",Shipping: $200,649,4
2017,JEEP,GRAND CHEROKEE,Limited,"23,900","59,983 miles",Free Shipping,649,5
2015,VOLKSWAGEN,PASSAT,1.8T SE,"14,500","24,461 miles",Free Shipping,649,6
2018,FORD,FUSION,SE,"15,900","23,440 miles",Shipping: $200,649,7
2015,KIA,SPORTAGE,EX,"14,300","60,965 miles",Shipping: $200,649,8
2014,TOYOTA,PRIUS V,Two,"15,100","75,694 miles",Free Shipping,649,9
2018,HYUNDAI,TUCSON,SEL,"16,400","42,144 miles",Shipping: $200,649,10
2017,CHEVROLET,EQUINOX,LS,"15,900","24,318 miles",Shipping: $200,649,11
2017,DODGE,JOURNEY,Crossroad Plus,"17,400","34,753 miles",Shipping: $200,649,12
2018,CHEVROLET,SPARK,LS,"12,500","32,580 miles",Shipping: $200,649,13
2018,JEEP,CHEROKEE,Latitude,"17,700","46,443 miles",Shipping: $300,649,14
2018,CHEVROLET,EQUINOX,LT,"18,500","19,592 miles",Shipping: $300,649,15
2017,HYUNDAI,SONATA,SE,"14,400","51,229 miles",Shipping: $200,649,16
2017,CHEVROLET,EQUINOX,LT,"15,700","30,285 miles",Shipping: $300,649,17
2014,VOLKSWAGEN,PASSAT,TDI SEL Premium,"14,800","38,607 miles",Shipping: $300,649,18
2018,DODGE,GRAND CARAVAN PAS...,SXT,"15,900","51,787 miles",Free Shipping,649,19
2017,NISSAN,ROGUE,S,"15,900","37,446 miles",Free Shipping,649,20
2013,CHEVROLET,CAMARO,LT,"16,300","47,235 miles",Free Shipping,650,1
2017,HYUNDAI,TUCSON,SE,"15,900","29,069 miles",Shipping: $200,650,2
2017,FORD,EXPLORER,XLT,"23,000","47,368 miles",Shipping: $300,650,3
2017,TOYOTA,CAMRY,SE,"16,500","46,968 miles",Shipping: $200,650,4
2017,JEEP,GRAND CHEROKEE,Limited,"23,900","59,983 miles",Free Shipping,650,5
2015,VOLKSWAGEN,PASSAT,1.8T SE,"14,500","24,461 miles",Free Shipping,650,6
2018,FORD,FUSION,SE,"15,900","23,440 miles",Shipping: $200,650,7
2015,KIA,SPORTAGE,EX,"14,300","60,965 miles",Shipping: $200,650,8
2014,TOYOTA,PRIUS V,Two,"15,100","75,694 miles",Free Shipping,650,9
2018,HYUNDAI,TUCSON,SEL,"16,400","42,144 miles",Shipping: $200,650,10
2017,CHEVROLET,EQUINOX,LS,"15,900","24,318 miles",Shipping: $200,650,11
2017,DODGE,JOURNEY,Crossroad Plus,"17,400","34,753 miles",Shipping: $200,650,12
2018,CHEVROLET,SPARK,LS,"12,500","32,580 miles",Shipping: $200,650,13
2018,JEEP,CHEROKEE,Latitude,"17,700","46,443 miles",Shipping: $300,650,14
2018,CHEVROLET,EQUINOX,LT,"18,500","19,592 miles",Shipping: $300,650,15
2017,HYUNDAI,SONATA,SE,"14,400","51,229 miles",Shipping: $200,650,16
2017,CHEVROLET,EQUINOX,LT,"15,700","30,285 miles",Shipping: $300,650,17
2014,VOLKSWAGEN,PASSAT,TDI SEL Premium,"14,800","38,607 miles",Shipping: $300,650,18
2018,DODGE,GRAND CARAVAN PAS...,SXT,"15,900","51,787 miles",Free Shipping,650,19
2017,NISSAN,ROGUE,S,"15,900","37,446 miles",Free Shipping,650,20
2013,CHEVROLET,CAMARO,LT,"16,300","47,235 miles",Free Shipping,651,1
2017,HYUNDAI,TUCSON,SE,"15,900","29,069 miles",Shipping: $200,651,2
2017,FORD,EXPLORER,XLT,"23,000","47,368 miles",Shipping: $300,651,3
2017,TOYOTA,CAMRY,SE,"16,500","46,968 miles",Shipping: $200,651,4
2017,JEEP,GRAND CHEROKEE,Limited,"23,900","59,983 miles",Free Shipping,651,5
2015,VOLKSWAGEN,PASSAT,1.8T SE,"14,500","24,461 miles",Free Shipping,651,6
2018,FORD,FUSION,SE,"15,900","23,440 miles",Shipping: $200,651,7
2015,KIA,SPORTAGE,EX,"14,300","60,965 miles",Shipping: $200,651,8
2014,TOYOTA,PRIUS V,Two,"15,100","75,694 miles",Free Shipping,651,9
2018,HYUNDAI,TUCSON,SEL,"16,400","42,144 miles",Shipping: $200,651,10
2017,CHEVROLET,EQUINOX,LS,"15,900","24,318 miles",Shipping: $200,651,11
2017,DODGE,JOURNEY,Crossroad Plus,"17,400","34,753 miles",Shipping: $200,651,12
2018,CHEVROLET,SPARK,LS,"12,500","32,580 miles",Shipping: $200,651,13
2018,JEEP,CHEROKEE,Latitude,"17,700","46,443 miles",Shipping: $300,651,14
2018,CHEVROLET,EQUINOX,LT,"18,500","19,592 miles",Shipping: $300,651,15
2017,HYUNDAI,SONATA,SE,"14,400","51,229 miles",Shipping: $200,651,16
2017,CHEVROLET,EQUINOX,LT,"15,700","30,285 miles",Shipping: $300,651,17
2014,VOLKSWAGEN,PASSAT,TDI SEL Premium,"14,800","38,607 miles",Shipping: $300,651,18
2018,DODGE,GRAND CARAVAN PAS...,SXT,"15,900","51,787 miles",Free Shipping,651,19
2017,NISSAN,ROGUE,S,"15,900","37,446 miles",Free Shipping,651,20
2013,CHEVROLET,CAMARO,LT,"16,300","47,235 miles",Free Shipping,652,1
2017,HYUNDAI,TUCSON,SE,"15,900","29,069 miles",Shipping: $200,652,2
2017,FORD,EXPLORER,XLT,"23,000","47,368 miles",Shipping: $300,652,3
2017,TOYOTA,CAMRY,SE,"16,500","46,968 miles",Shipping: $200,652,4
2017,JEEP,GRAND CHEROKEE,Limited,"23,900","59,983 miles",Free Shipping,652,5
2015,VOLKSWAGEN,PASSAT,1.8T SE,"14,500","24,461 miles",Free Shipping,652,6
2018,FORD,FUSION,SE,"15,900","23,440 miles",Shipping: $200,652,7
2015,KIA,SPORTAGE,EX,"14,300","60,965 miles",Shipping: $200,652,8
2014,TOYOTA,PRIUS V,Two,"15,100","75,694 miles",Free Shipping,652,9
2018,HYUNDAI,TUCSON,SEL,"16,400","42,144 miles",Shipping: $200,652,10
2017,CHEVROLET,EQUINOX,LS,"15,900","24,318 miles",Shipping: $200,652,11
2017,DODGE,JOURNEY,Crossroad Plus,"17,400","34,753 miles",Shipping: $200,652,12
2018,CHEVROLET,SPARK,LS,"12,500","32,580 miles",Shipping: $200,652,13
2018,JEEP,CHEROKEE,Latitude,"17,700","46,443 miles",Shipping: $300,652,14
2018,CHEVROLET,EQUINOX,LT,"18,500","19,592 miles",Shipping: $300,652,15
2017,HYUNDAI,SONATA,SE,"14,400","51,229 miles",Shipping: $200,652,16
2017,CHEVROLET,EQUINOX,LT,"15,700","30,285 miles",Shipping: $300,652,17
2014,VOLKSWAGEN,PASSAT,TDI SEL Premium,"14,800","38,607 miles",Shipping: $300,652,18
2018,DODGE,GRAND CARAVAN PAS...,SXT,"15,900","51,787 miles",Free Shipping,652,19
2017,NISSAN,ROGUE,S,"15,900","37,446 miles",Free Shipping,652,20
2013,CHEVROLET,CAMARO,LT,"16,300","47,235 miles",Free Shipping,653,1
2017,HYUNDAI,TUCSON,SE,"15,900","29,069 miles",Shipping: $200,653,2
2017,FORD,EXPLORER,XLT,"23,000","47,368 miles",Shipping: $300,653,3
2017,TOYOTA,CAMRY,SE,"16,500","46,968 miles",Shipping: $200,653,4
2017,JEEP,GRAND CHEROKEE,Limited,"23,900","59,983 miles",Free Shipping,653,5
2015,VOLKSWAGEN,PASSAT,1.8T SE,"14,500","24,461 miles",Free Shipping,653,6
2018,FORD,FUSION,SE,"15,900","23,440 miles",Shipping: $200,653,7
2015,KIA,SPORTAGE,EX,"14,300","60,965 miles",Shipping: $200,653,8
2014,TOYOTA,PRIUS V,Two,"15,100","75,694 miles",Free Shipping,653,9
2018,HYUNDAI,TUCSON,SEL,"16,400","42,144 miles",Shipping: $200,653,10
2017,CHEVROLET,EQUINOX,LS,"15,900","24,318 miles",Shipping: $200,653,11
2017,DODGE,JOURNEY,Crossroad Plus,"17,400","34,753 miles",Shipping: $200,653,12
2018,CHEVROLET,SPARK,LS,"12,500","32,580 miles",Shipping: $200,653,13
2018,JEEP,CHEROKEE,Latitude,"17,700","46,443 miles",Shipping: $300,653,14
2018,CHEVROLET,EQUINOX,LT,"18,500","19,592 miles",Shipping: $300,653,15
2017,HYUNDAI,SONATA,SE,"14,400","51,229 miles",Shipping: $200,653,16
2017,CHEVROLET,EQUINOX,LT,"15,700","30,285 miles",Shipping: $300,653,17
2014,VOLKSWAGEN,PASSAT,TDI SEL Premium,"14,800","38,607 miles",Shipping: $300,653,18
2018,DODGE,GRAND CARAVAN PAS...,SXT,"15,900","51,787 miles",Free Shipping,653,19
2017,NISSAN,ROGUE,S,"15,900","37,446 miles",Free Shipping,653,20
2013,CHEVROLET,CAMARO,LT,"16,300","47,235 miles",Free Shipping,654,1
2017,HYUNDAI,TUCSON,SE,"15,900","29,069 miles",Shipping: $200,654,2
2017,FORD,EXPLORER,XLT,"23,000","47,368 miles",Shipping: $300,654,3
2017,TOYOTA,CAMRY,SE,"16,500","46,968 miles",Shipping: $200,654,4
2017,JEEP,GRAND CHEROKEE,Limited,"23,900","59,983 miles",Free Shipping,654,5
2015,VOLKSWAGEN,PASSAT,1.8T SE,"14,500","24,461 miles",Free Shipping,654,6
2018,FORD,FUSION,SE,"15,900","23,440 miles",Shipping: $200,654,7
2015,KIA,SPORTAGE,EX,"14,300","60,965 miles",Shipping: $200,654,8
2014,TOYOTA,PRIUS V,Two,"15,100","75,694 miles",Free Shipping,654,9
2018,HYUNDAI,TUCSON,SEL,"16,400","42,144 miles",Shipping: $200,654,10
2017,CHEVROLET,EQUINOX,LS,"15,900","24,318 miles",Shipping: $200,654,11
2017,DODGE,JOURNEY,Crossroad Plus,"17,400","34,753 miles",Shipping: $200,654,12
2018,CHEVROLET,SPARK,LS,"12,500","32,580 miles",Shipping: $200,654,13
2018,JEEP,CHEROKEE,Latitude,"17,700","46,443 miles",Shipping: $300,654,14
2018,CHEVROLET,EQUINOX,LT,"18,500","19,592 miles",Shipping: $300,654,15
2017,HYUNDAI,SONATA,SE,"14,400","51,229 miles",Shipping: $200,654,16
2017,CHEVROLET,EQUINOX,LT,"15,700","30,285 miles",Shipping: $300,654,17
2014,VOLKSWAGEN,PASSAT,TDI SEL Premium,"14,800","38,607 miles",Shipping: $300,654,18
2018,DODGE,GRAND CARAVAN PAS...,SXT,"15,900","51,787 miles",Free Shipping,654,19
2017,NISSAN,ROGUE,S,"15,900","37,446 miles",Free Shipping,654,20
2013,CHEVROLET,CAMARO,LT,"16,300","47,235 miles",Free Shipping,655,1
2017,HYUNDAI,TUCSON,SE,"15,900","29,069 miles",Shipping: $200,655,2
2017,FORD,EXPLORER,XLT,"23,000","47,368 miles",Shipping: $300,655,3
2017,TOYOTA,CAMRY,SE,"16,500","46,968 miles",Shipping: $200,655,4
2017,JEEP,GRAND CHEROKEE,Limited,"23,900","59,983 miles",Free Shipping,655,5
2015,VOLKSWAGEN,PASSAT,1.8T SE,"14,500","24,461 miles",Free Shipping,655,6
2018,FORD,FUSION,SE,"15,900","23,440 miles",Shipping: $200,655,7
2015,KIA,SPORTAGE,EX,"14,300","60,965 miles",Shipping: $200,655,8
2014,TOYOTA,PRIUS V,Two,"15,100","75,694 miles",Free Shipping,655,9
2018,HYUNDAI,TUCSON,SEL,"16,400","42,144 miles",Shipping: $200,655,10
2017,CHEVROLET,EQUINOX,LS,"15,900","24,318 miles",Shipping: $200,655,11
2017,DODGE,JOURNEY,Crossroad Plus,"17,400","34,753 miles",Shipping: $200,655,12
2018,CHEVROLET,SPARK,LS,"12,500","32,580 miles",Shipping: $200,655,13
2018,JEEP,CHEROKEE,Latitude,"17,700","46,443 miles",Shipping: $300,655,14
2018,CHEVROLET,EQUINOX,LT,"18,500","19,592 miles",Shipping: $300,655,15
2017,HYUNDAI,SONATA,SE,"14,400","51,229 miles",Shipping: $200,655,16
2017,CHEVROLET,EQUINOX,LT,"15,700","30,285 miles",Shipping: $300,655,17
2014,VOLKSWAGEN,PASSAT,TDI SEL Premium,"14,800","38,607 miles",Shipping: $300,655,18
2018,DODGE,GRAND CARAVAN PAS...,SXT,"15,900","51,787 miles",Free Shipping,655,19
2017,NISSAN,ROGUE,S,"15,900","37,446 miles",Free Shipping,655,20
2013,CHEVROLET,CAMARO,LT,"16,300","47,235 miles",Free Shipping,656,1
2017,HYUNDAI,TUCSON,SE,"15,900","29,069 miles",Shipping: $200,656,2
2017,FORD,EXPLORER,XLT,"23,000","47,368 miles",Shipping: $300,656,3
2017,TOYOTA,CAMRY,SE,"16,500","46,968 miles",Shipping: $200,656,4
2017,JEEP,GRAND CHEROKEE,Limited,"23,900","59,983 miles",Free Shipping,656,5
2015,VOLKSWAGEN,PASSAT,1.8T SE,"14,500","24,461 miles",Free Shipping,656,6
2018,FORD,FUSION,SE,"15,900","23,440 miles",Shipping: $200,656,7
2015,KIA,SPORTAGE,EX,"14,300","60,965 miles",Shipping: $200,656,8
2014,TOYOTA,PRIUS V,Two,"15,100","75,694 miles",Free Shipping,656,9
2018,HYUNDAI,TUCSON,SEL,"16,400","42,144 miles",Shipping: $200,656,10
2017,CHEVROLET,EQUINOX,LS,"15,900","24,318 miles",Shipping: $200,656,11
2017,DODGE,JOURNEY,Crossroad Plus,"17,400","34,753 miles",Shipping: $200,656,12
2018,CHEVROLET,SPARK,LS,"12,500","32,580 miles",Shipping: $200,656,13
2018,JEEP,CHEROKEE,Latitude,"17,700","46,443 miles",Shipping: $300,656,14
2018,CHEVROLET,EQUINOX,LT,"18,500","19,592 miles",Shipping: $300,656,15
2017,HYUNDAI,SONATA,SE,"14,400","51,229 miles",Shipping: $200,656,16
2017,CHEVROLET,EQUINOX,LT,"15,700","30,285 miles",Shipping: $300,656,17
2014,VOLKSWAGEN,PASSAT,TDI SEL Premium,"14,800","38,607 miles",Shipping: $300,656,18
2018,DODGE,GRAND CARAVAN PAS...,SXT,"15,900","51,787 miles",Free Shipping,656,19
2017,NISSAN,ROGUE,S,"15,900","37,446 miles",Free Shipping,656,20
2013,CHEVROLET,CAMARO,LT,"16,300","47,235 miles",Free Shipping,657,1
2017,HYUNDAI,TUCSON,SE,"15,900","29,069 miles",Shipping: $200,657,2
2017,FORD,EXPLORER,XLT,"23,000","47,368 miles",Shipping: $300,657,3
2017,TOYOTA,CAMRY,SE,"16,500","46,968 miles",Shipping: $200,657,4
2017,JEEP,GRAND CHEROKEE,Limited,"23,900","59,983 miles",Free Shipping,657,5
2015,VOLKSWAGEN,PASSAT,1.8T SE,"14,500","24,461 miles",Free Shipping,657,6
2018,FORD,FUSION,SE,"15,900","23,440 miles",Shipping: $200,657,7
2015,KIA,SPORTAGE,EX,"14,300","60,965 miles",Shipping: $200,657,8
2014,TOYOTA,PRIUS V,Two,"15,100","75,694 miles",Free Shipping,657,9
2018,HYUNDAI,TUCSON,SEL,"16,400","42,144 miles",Shipping: $200,657,10
2017,CHEVROLET,EQUINOX,LS,"15,900","24,318 miles",Shipping: $200,657,11
2017,DODGE,JOURNEY,Crossroad Plus,"17,400","34,753 miles",Shipping: $200,657,12
2018,CHEVROLET,SPARK,LS,"12,500","32,580 miles",Shipping: $200,657,13
2018,JEEP,CHEROKEE,Latitude,"17,700","46,443 miles",Shipping: $300,657,14
